2026-02-10 16:02:00,1,22.9,19.1,195.38,-20.1,3753,0.06,0.06,0.34,0.57
2026-02-10 16:02:00,1,22.9,19.1,195.84,-20.2,489,0.04,0.95,0.01,0
2026-02-10 16:02:00,0,22.9,19,195.38,-20.1,553,0.12,0.9,0.06,0
2026-02-10 16:02:00,1,22.9,19.1,195.38,-20.2,426,0.27,0.65,0.08,0
2026-02-10 16:02:00,1,22.9,19,226.25,-20,831,0.45,0.35,0.19,0.03
2026-02-10 16:02:00,1,22.9,19,226.71,-20.1,450,0.16,0.92,0.01,0
2026-02-10 16:02:00,1,22.9,19,200.45,-20.1,623,0.08,0.75,0.17,0
2026-02-10 16:02:00,1,22.9,19,183.86,-20,341,0.67,0.34,0.03,0
2026-02-10 16:02:00,1,22.9,19.1,192.61,-20.2,651,0.07,0.91,0.03,0
2026-02-10 16:02:00,1,22.9,19,195.38,-20.2,788,0.36,0.38,0.27,0
2026-02-10 16:02:00,1,22.9,19,205.52,-20.1,581,0.09,0.87,0.06,0
2026-02-10 16:02:00,1,22.9,19,229.48,-20.1,680,0.08,0.84,0.08,0
2026-02-10 16:02:00,1,22.9,19.1,230.86,-20.1,620,0.22,0.74,0.12,0
2026-02-10 16:02:00,1,22.9,19,208.28,-20.2,536,0.01,0.99,0,0
2026-02-10 16:02:00,1,22.9,19,190.77,-20.2,383,0.65,0.37,0.06,0
2026-02-10 16:02:00,1,22.9,19,167.73,-20,692,0.05,0.93,0.02,0
2026-02-10 16:02:00,1,22.9,19,179.71,-20.2,268,0.64,0.35,0.02,0
2026-02-10 16:02:00,0,22.9,19,177.87,-20.1,424,0.33,0.84,0.05,0
2026-02-10 16:02:00,0,22.9,19,175.56,-20.1,693,0.07,0.81,0.12,0
2026-02-10 16:02:00,1,22.9,19,174.64,-20,855,0.06,0.76,0.18,0
2026-02-10 16:02:00,1,22.9,19,195.84,-20.2,750,0.14,0.68,0.19,0
2026-02-10 16:02:00,1,22.9,19,227.64,-20.3,676,0.39,0.61,0.14,0
2026-02-10 16:02:00,1,22.9,19,222.57,-20.2,476,0.18,0.81,0.04,0
2026-02-10 16:02:00,1,22.9,18.9,207.82,-20.2,913,0.08,0.54,0.4,0
2026-02-10 16:02:00,1,22.9,18.9,204.13,-20.2,1117,0.39,0.33,0.28,0.01
2026-02-10 16:02:00,1,22.9,19,196.3,-19.9,721,0.03,0.86,0.13,0
2026-02-10 16:02:00,1,22.9,19,187.55,-20.3,507,0.06,0.95,0.02,0
2026-02-10 16:02:00,1,22.9,18.9,185.24,-20,503,0.3,0.74,0.06,0
