timestamp,pir,tempC,humPct,lux,dbfs,centroidHz,B1_50_200,B2_200_1200,B3_1200_4000,B4_4000_8000,sleep_stage
2026-04-11 02:33:16,0,24.5,23.3,4.61,-18.2,1236,0.17,0.34,0.49,0.00,awake
2026-04-11 02:33:16,0,24.5,23.3,4.61,-18.1,2397,0.00,0.03,0.87,0.10,awake
2026-04-11 02:33:16,0,24.5,23.3,3.69,-18.1,2397,0.00,0.03,0.87,0.10,awake
2026-04-11 02:33:16,0,24.5,23.3,4.61,-17.9,1071,0.02,0.74,0.24,0.00,awake
2026-04-11 02:33:16,0,24.5,23.3,5.53,-18.1,399,0.29,0.68,0.03,0.00,awake
2026-04-11 02:33:16,0,24.5,23.3,5.53,-17.6,1304,0.02,0.62,0.36,0.00,awake
2026-04-11 02:33:17,1,24.5,23.3,6.45,-17.2,608,0.01,0.98,0.02,0.00,awake
2026-04-11 02:33:17,1,24.5,23.3,7.37,-18.1,458,0.05,0.93,0.03,0.00,awake
2026-04-11 02:33:17,1,24.5,23.3,7.37,-18.1,458,0.05,0.93,0.03,0.00,awake
2026-04-11 02:33:17,1,24.5,23.3,7.37,-18.0,569,0.06,0.93,0.01,0.00,awake
2026-04-11 02:33:17,1,24.5,23.3,7.37,-17.8,602,0.04,0.90,0.05,0.00,awake
2026-04-11 02:33:17,1,24.5,23.3,8.29,-18.2,3754,0.02,0.17,0.08,0.73,awake
2026-04-11 02:33:17,1,24.5,23.3,8.29,-16.2,668,0.00,0.99,0.01,0.00,awake
2026-04-11 02:33:17,1,24.5,23.3,5.53,-15.7,689,0.00,0.98,0.02,0.00,awake
2026-04-11 02:33:17,1,24.4,23.5,4.61,-18.1,580,0.15,0.88,0.04,0.00,awake
2026-04-11 02:33:18,1,24.4,23.5,3.69,-17.5,469,0.05,0.94,0.00,0.00,awake
2026-04-11 02:33:18,1,24.4,23.5,2.76,-17.5,599,0.04,0.92,0.04,0.00,awake
2026-04-11 02:33:18,1,24.4,23.5,2.76,-17.5,599,0.04,0.92,0.04,0.00,awake
2026-04-11 02:33:18,1,24.4,23.5,2.76,-17.2,541,0.02,0.96,0.01,0.00,awake
2026-04-11 02:33:18,1,24.4,23.5,2.76,-17.8,561,0.01,0.97,0.01,0.01,awake
2026-04-11 02:33:18,1,24.4,23.5,2.76,-18.1,727,0.02,0.88,0.09,0.02,awake
2026-04-11 02:33:18,1,24.4,23.5,3.69,-18.1,2459,0.01,0.46,0.23,0.31,awake
2026-04-11 02:33:18,1,24.4,23.5,4.61,-18.0,588,0.03,0.96,0.01,0.00,awake
2026-04-11 02:33:18,1,24.4,23.5,4.61,-18.0,588,0.03,0.96,0.01,0.00,awake
2026-04-11 02:33:18,1,24.4,23.5,5.53,-17.8,896,0.04,0.75,0.21,0.00,awake
2026-04-11 02:33:19,1,24.4,23.6,6.45,-18.1,824,0.11,0.72,0.17,0.01,awake
2026-04-11 02:33:19,1,24.4,23.6,7.37,-18.1,807,0.01,0.86,0.13,0.00,awake
2026-04-11 02:33:19,1,24.4,23.6,7.37,-18.1,674,0.00,0.89,0.11,0.00,awake
2026-04-11 02:33:19,1,24.4,23.6,9.22,-18.1,674,0.00,0.89,0.11,0.00,awake
2026-04-11 02:33:19,1,24.4,23.6,9.22,-18.2,301,0.62,0.34,0.06,0.00,awake
2026-04-11 02:33:19,1,24.4,23.6,8.29,-18.1,293,0.66,0.31,0.05,0.00,awake
2026-04-11 02:33:19,1,24.4,23.6,10.14,-18.1,293,0.66,0.31,0.05,0.00,awake
2026-04-11 02:33:19,1,24.4,23.6,15.67,-18.2,520,0.54,0.40,0.10,0.00,awake
2026-04-11 02:33:19,1,24.4,23.6,16.59,-18.2,391,0.52,0.48,0.05,0.00,awake
2026-04-11 02:33:19,1,24.4,23.6,16.59,-18.2,391,0.52,0.48,0.05,0.00,awake
2026-04-11 02:33:20,1,24.4,23.6,16.59,-18.1,360,0.59,0.39,0.04,0.00,awake
2026-04-11 02:33:20,1,24.4,23.8,16.59,-18.1,259,0.71,0.31,0.03,0.00,awake
2026-04-11 02:33:20,1,24.4,23.8,17.51,-18.2,366,0.75,0.18,0.07,0.01,awake
2026-04-11 02:33:20,1,24.4,23.8,17.51,-18.2,366,0.75,0.18,0.07,0.01,awake
2026-04-11 02:33:20,1,24.4,23.8,17.51,-18.2,482,0.46,0.47,0.07,0.00,awake
2026-04-11 02:33:20,1,24.4,23.8,17.51,-18.2,322,0.59,0.37,0.04,0.00,awake
2026-04-11 02:33:20,1,24.4,23.8,17.51,-18.1,481,0.31,0.68,0.04,0.00,awake
2026-04-11 02:33:20,1,24.4,23.8,18.43,-18.2,344,0.57,0.41,0.04,0.00,awake
2026-04-11 02:33:20,1,24.4,23.8,18.43,-18.2,344,0.57,0.41,0.04,0.00,awake
