timestamp,pir,tempC,humPct,lux,dbfs,centroidHz,B1_50_200,B2_200_1200,B3_1200_4000,B4_4000_8000,sleep_stage
2026-04-08 07:44:37,0,25.5,61.5,0.92,-18.2,711,0.26,0.59,0.15,0.00,awake
2026-04-08 07:44:37,0,25.5,61.5,0.92,-18.1,519,0.42,0.49,0.10,0.00,awake
2026-04-08 07:44:37,0,25.5,61.5,0.92,-18.1,519,0.42,0.49,0.10,0.00,awake
2026-04-08 07:44:37,0,25.5,61.5,0.92,-17.1,936,0.00,0.80,0.20,0.00,awake
2026-04-08 07:44:37,0,25.5,63.2,0.92,-18.2,600,0.24,0.70,0.06,0.00,awake
2026-04-08 07:44:37,0,25.5,63.2,0.92,-18.2,352,0.53,0.47,0.02,0.00,awake
2026-04-08 07:44:37,0,25.5,63.2,0.92,-18.1,355,0.56,0.40,0.06,0.00,awake
2026-04-08 07:44:37,0,25.5,63.2,0.92,-18.1,355,0.51,0.51,0.04,0.00,awake
2026-04-08 07:44:38,0,25.5,63.2,0.92,-18.1,355,0.51,0.51,0.04,0.00,awake
2026-04-08 07:44:38,0,25.5,63.2,0.92,-18.1,276,0.75,0.29,0.03,0.00,awake
2026-04-08 07:44:38,0,25.5,63.2,0.92,-18.1,647,0.05,0.94,0.02,0.00,awake
2026-04-08 07:44:38,0,25.5,63.2,0.92,-18.1,736,0.07,0.85,0.08,0.00,awake
2026-04-08 07:44:38,1,25.5,63.2,0.92,-18.1,735,0.37,0.45,0.18,0.00,awake
2026-04-08 07:44:38,1,25.5,63.2,0.92,-18.1,412,0.56,0.35,0.09,0.00,awake
2026-04-08 07:44:38,1,25.5,63.2,0.92,-18.1,586,0.38,0.49,0.14,0.00,awake
2026-04-08 07:44:38,1,25.5,63.2,0.92,-18.1,586,0.38,0.49,0.14,0.00,awake
2026-04-08 07:44:38,1,25.5,63.2,0.00,-18.0,649,0.22,0.68,0.13,0.00,awake
2026-04-08 07:44:38,1,25.5,63.2,0.00,-17.9,336,0.63,0.34,0.05,0.00,awake
2026-04-08 07:44:39,1,25.5,63.2,0.00,-17.9,249,0.71,0.29,0.04,0.00,awake
2026-04-08 07:44:39,1,25.5,63.2,0.00,-17.9,222,0.79,0.27,0.03,0.00,awake
2026-04-08 07:44:39,1,25.5,63.2,0.00,-17.9,222,0.79,0.27,0.03,0.00,awake
2026-04-08 07:44:39,1,25.5,63.2,0.00,-18.0,217,0.74,0.24,0.03,0.00,awake
2026-04-08 07:44:39,1,25.5,63.2,0.00,-18.0,193,0.77,0.20,0.03,0.00,awake
2026-04-08 07:44:39,1,25.5,63.2,0.00,-18.0,193,0.77,0.20,0.03,0.00,awake
2026-04-08 07:44:39,1,25.5,63.2,0.00,-18.1,429,0.63,0.28,0.09,0.00,awake
2026-04-08 07:44:39,1,25.6,66.3,0.00,-18.0,408,0.46,0.49,0.08,0.00,awake
2026-04-08 07:44:39,1,25.6,66.3,0.00,-18.0,408,0.46,0.49,0.08,0.00,awake
2026-04-08 07:44:39,1,25.6,66.3,0.00,-18.1,324,0.63,0.38,0.04,0.00,awake
2026-04-08 07:44:40,1,25.6,66.3,0.00,-18.2,368,0.44,0.51,0.05,0.00,awake
2026-04-08 07:44:40,0,25.6,66.3,0.00,-18.2,256,0.73,0.26,0.03,0.00,awake
2026-04-08 07:44:40,0,25.6,66.3,0.00,-18.2,256,0.73,0.26,0.03,0.00,awake
2026-04-08 07:44:40,0,25.6,66.3,0.00,-18.3,327,0.64,0.32,0.05,0.00,awake
2026-04-08 07:44:40,0,25.6,66.3,0.00,-18.3,199,0.79,0.20,0.03,0.00,awake
2026-04-08 07:44:40,0,25.6,66.3,0.00,-18.2,243,0.76,0.22,0.03,0.00,awake
2026-04-08 07:44:40,0,25.6,66.3,0.00,-18.2,243,0.76,0.22,0.03,0.00,awake
2026-04-08 07:44:40,0,25.6,66.3,0.00,-18.1,966,0.24,0.47,0.32,0.01,awake
2026-04-08 07:44:40,0,25.6,67.7,0.00,-18.0,644,0.50,0.32,0.18,0.01,awake
2026-04-08 07:44:40,0,25.6,67.7,0.00,-18.0,591,0.64,0.18,0.18,0.00,awake
2026-04-08 07:44:41,0,25.6,67.7,0.00,-18.0,591,0.64,0.18,0.18,0.00,awake
2026-04-08 07:44:41,0,25.6,67.7,0.00,-18.2,170,0.84,0.14,0.02,0.00,awake
2026-04-08 07:44:41,0,25.6,67.7,0.00,-18.2,345,0.66,0.36,0.05,0.00,awake
2026-04-08 07:44:41,0,25.6,67.7,0.00,-18.2,435,0.56,0.35,0.12,0.00,awake
2026-04-08 07:44:41,0,25.6,67.7,0.00,-18.2,329,0.54,0.44,0.03,0.00,awake
2026-04-08 07:44:41,0,25.6,67.7,0.00,-18.2,275,0.70,0.27,0.03,0.00,awake
2026-04-08 07:44:41,0,25.6,67.7,0.92,-18.3,338,0.43,0.55,0.05,0.00,awake
2026-04-08 07:44:41,0,25.6,67.7,0.92,-18.3,338,0.43,0.55,0.05,0.00,awake
2026-04-08 07:44:41,0,25.6,67.7,0.92,-18.2,231,0.72,0.28,0.03,0.00,awake
2026-04-08 07:44:41,0,25.6,69.1,0.92,-18.2,333,0.51,0.47,0.06,0.00,awake
2026-04-08 07:44:42,0,25.6,69.1,0.92,-18.2,333,0.51,0.47,0.06,0.00,awake
2026-04-08 07:44:42,0,25.6,69.1,0.92,-18.2,583,0.39,0.49,0.12,0.01,awake
2026-04-08 07:44:42,1,25.6,69.1,0.92,-18.2,227,0.68,0.29,0.03,0.00,awake
2026-04-08 07:44:42,1,25.6,69.1,0.92,-18.1,364,0.63,0.34,0.09,0.00,awake
2026-04-08 07:44:42,1,25.6,69.1,0.92,-18.1,257,0.70,0.29,0.04,0.00,awake
2026-04-08 07:44:42,1,25.6,69.1,0.92,-18.1,257,0.70,0.29,0.04,0.00,awake
2026-04-08 07:44:42,1,25.6,69.1,0.92,-18.1,588,0.46,0.40,0.17,0.00,awake
2026-04-08 07:44:42,1,25.6,69.1,0.92,-18.1,857,0.33,0.40,0.28,0.01,awake
2026-04-08 07:44:42,1,25.6,69.1,0.92,-18.1,541,0.62,0.22,0.17,0.00,awake
2026-04-08 07:44:42,1,25.6,69.1,0.92,-18.1,329,0.74,0.20,0.07,0.00,awake
2026-04-08 07:44:43,1,25.6,69.1,0.92,-18.1,305,0.67,0.31,0.04,0.00,awake
2026-04-08 07:44:43,1,25.6,69.1,0.92,-18.2,319,0.64,0.35,0.05,0.00,awake
2026-04-08 07:44:43,1,25.6,69.1,0.92,-18.2,319,0.64,0.35,0.05,0.00,awake
2026-04-08 07:44:43,1,25.6,69.1,0.92,-18.2,226,0.64,0.38,0.02,0.00,awake
2026-04-08 07:44:43,1,25.6,69.1,0.92,-18.2,420,0.39,0.57,0.05,0.00,awake
2026-04-08 07:44:43,1,25.6,69.1,0.92,-18.2,355,0.40,0.57,0.04,0.00,awake
2026-04-08 07:44:43,1,25.6,69.1,0.92,-18.2,275,0.69,0.34,0.03,0.00,awake
2026-04-08 07:44:43,1,25.6,69.1,0.92,-18.2,256,0.57,0.43,0.02,0.00,awake
2026-04-08 07:44:43,1,25.6,69.1,0.92,-18.2,250,0.73,0.29,0.02,0.00,awake
2026-04-08 07:44:43,1,25.6,71.5,0.92,-18.2,227,0.58,0.42,0.02,0.00,awake
2026-04-08 07:44:44,1,25.6,71.5,0.92,-18.2,227,0.58,0.42,0.02,0.00,awake
2026-04-08 07:44:44,1,25.6,71.5,0.92,-18.2,246,0.60,0.39,0.02,0.00,awake
2026-04-08 07:44:44,1,25.6,71.5,0.92,-18.2,299,0.57,0.45,0.04,0.00,awake
