timestamp,pir,tempC,humPct,lux,dbfs,centroidHz,B1_50_200,B2_200_1200,B3_1200_4000,B4_4000_8000,sleep_stage
2026-03-30 3:41,0,23.6,24.5,0.14,-18.9,253,0.74,0.18,0.04,0.03,awake
2026-03-30 3:41,0,23.5,24.5,0,-19,113,0.76,0.19,0.04,0.01,awake
2026-03-30 3:41,0,23.6,24.6,0.1,-19,145,0.81,0.16,0.03,0,awake
2026-03-30 3:41,0,23.6,24.6,0.03,-19,181,0.73,0.2,0.04,0.02,awake
2026-03-30 3:41,0,23.6,24.5,0.09,-19,483,0.72,0.18,0.07,0.04,awake
2026-03-30 3:41,0,23.6,24.5,0.15,-19,466,0.74,0.2,0.04,0.02,awake
2026-03-30 3:41,0,23.6,24.6,0.12,-19,622,0.75,0.17,0.04,0.04,awake
2026-03-30 3:41,0,23.6,24.5,0.09,-19,97,0.7,0.26,0.02,0.01,awake
2026-03-30 3:41,1,23.6,24.6,0,-19,256,0.7,0.26,0.04,0,awake
2026-03-30 3:41,1,23.6,24.5,0,-19,305,0.78,0.17,0.04,0.01,awake
2026-03-30 3:41,0,23.6,24.6,0.03,-19,78,0.78,0.15,0.05,0.02,awake
2026-03-30 3:41,0,23.6,24.5,0,-18.9,126,0.74,0.18,0.07,0.01,awake
2026-03-30 3:41,0,23.6,24.5,0,-19,269,0.71,0.23,0.04,0.02,awake
2026-03-30 3:41,1,23.6,24.5,0,-18.9,439,0.73,0.19,0.04,0.04,awake
2026-03-30 3:41,0,23.6,24.6,0.04,-19,134,0.8,0.13,0.06,0,awake
2026-03-30 3:41,0,23.6,24.6,0.01,-19,814,0.76,0.21,0.03,0.01,awake
2026-03-30 3:41,0,23.6,24.5,0,-19,272,0.79,0.17,0.02,0.02,awake
2026-03-30 3:41,0,23.6,24.5,0.05,-18.9,217,0.72,0.21,0.04,0.03,awake
2026-03-30 3:41,0,23.6,24.5,0.16,-19,242,0.69,0.21,0.07,0.04,awake
2026-03-30 3:41,0,23.6,24.6,0.06,-19,142,0.78,0.16,0.05,0.01,awake
2026-03-30 3:41,0,23.6,24.5,0,-19,357,0.77,0.18,0.04,0.01,awake
2026-03-30 3:41,0,23.6,24.5,0.05,-18.9,81,0.79,0.16,0.04,0.01,awake
2026-03-30 3:41,1,23.6,24.5,0.02,-18.9,225,0.86,0.11,0.02,0.01,awake
2026-03-30 3:41,0,23.6,24.5,0.02,-19,243,0.72,0.17,0.11,0,awake
2026-03-30 3:41,0,23.6,24.6,0.05,-18.9,179,0.81,0.15,0.04,0,awake
2026-03-30 3:41,0,23.6,24.6,0,-19,283,0.75,0.2,0.03,0.02,awake
2026-03-30 3:41,0,23.6,24.4,0,-18.9,204,0.77,0.19,0.02,0.03,awake
2026-03-30 3:41,0,23.6,24.6,0.09,-18.9,228,0.69,0.22,0.08,0,awake
2026-03-30 3:41,0,23.6,24.6,0,-19,105,0.78,0.16,0.05,0.01,awake
2026-03-30 3:41,0,23.6,24.5,0,-19,481,0.8,0.14,0.05,0.01,awake
2026-03-30 3:41,0,23.6,24.6,0,-18.9,175,0.72,0.22,0.05,0.02,awake
2026-03-30 3:41,0,23.6,24.6,0,-19,60,0.79,0.18,0.02,0.01,awake
2026-03-30 3:41,1,23.6,24.6,0,-19,229,0.82,0.16,0.02,0,awake
