timestamp,pir,tempC,humPct,lux,dbfs,centroidHz,B1_50_200,B2_200_1200,B3_1200_4000,B4_4000_8000,sleep_stage
2026-04-08 08:08:47,1,26.2,27.9,0.00,-17.8,1865,0.00,0.21,0.80,0.00,awake
2026-04-08 08:08:47,1,26.2,27.9,0.00,-18.1,1239,0.13,0.51,0.35,0.02,awake
2026-04-08 08:08:47,1,26.2,27.9,0.92,-18.1,717,0.20,0.63,0.17,0.00,awake
2026-04-08 08:08:47,1,26.2,27.9,0.92,-18.0,1646,0.12,0.33,0.48,0.07,awake
2026-04-08 08:08:47,1,26.2,27.9,0.92,-18.1,628,0.08,0.82,0.10,0.01,awake
2026-04-08 08:08:47,1,26.2,27.9,0.92,-18.0,436,0.52,0.45,0.06,0.00,awake
2026-04-08 08:08:47,1,26.2,27.9,0.92,-18.1,521,0.53,0.40,0.11,0.01,awake
2026-04-08 08:08:47,1,26.2,27.9,0.92,-18.1,715,0.30,0.58,0.12,0.01,awake
2026-04-08 08:08:47,1,26.2,27.9,0.92,-18.1,715,0.30,0.58,0.12,0.01,awake
2026-04-08 08:08:48,1,26.2,27.9,0.92,-18.1,910,0.50,0.23,0.28,0.02,awake
2026-04-08 08:08:48,1,26.2,27.9,0.92,-18.1,789,0.47,0.29,0.25,0.01,awake
2026-04-08 08:08:48,1,26.2,27.9,0.92,-18.1,789,0.47,0.29,0.25,0.01,awake
2026-04-08 08:08:48,1,26.2,27.9,0.92,-18.1,1038,0.33,0.35,0.31,0.02,awake
2026-04-08 08:08:48,1,26.2,27.9,0.92,-18.0,426,0.68,0.22,0.10,0.01,awake
2026-04-08 08:08:48,1,26.2,27.9,0.92,-18.1,1375,0.35,0.18,0.44,0.03,awake
2026-04-08 08:08:48,1,26.2,27.9,0.92,-18.1,1375,0.35,0.18,0.44,0.03,awake
2026-04-08 08:08:48,1,26.2,27.8,0.92,-18.1,1718,0.12,0.32,0.55,0.04,awake
2026-04-08 08:08:48,1,26.2,27.8,0.92,-18.0,1533,0.02,0.54,0.41,0.03,awake
2026-04-08 08:08:49,1,26.2,27.8,1.84,-18.1,783,0.60,0.15,0.25,0.01,awake
2026-04-08 08:08:49,1,26.2,27.8,1.84,-18.1,1065,0.39,0.28,0.33,0.02,awake
2026-04-08 08:08:49,1,26.2,27.8,0.92,-18.1,1065,0.39,0.28,0.33,0.02,awake
2026-04-08 08:08:49,1,26.2,27.8,0.92,-18.0,910,0.47,0.30,0.21,0.02,awake
2026-04-08 08:08:49,1,26.2,27.8,0.92,-18.1,308,0.87,0.08,0.06,0.00,awake
2026-04-08 08:08:49,1,26.2,27.8,0.92,-18.1,308,0.87,0.08,0.06,0.00,awake
2026-04-08 08:08:49,1,26.2,27.8,0.92,-18.1,1089,0.44,0.22,0.35,0.01,awake
2026-04-08 08:08:49,1,26.2,27.8,0.92,-18.1,837,0.54,0.24,0.23,0.01,awake
2026-04-08 08:08:49,1,26.1,27.7,0.92,-18.1,1390,0.27,0.27,0.45,0.01,awake
2026-04-08 08:08:49,1,26.1,27.7,0.92,-18.1,1390,0.27,0.27,0.45,0.01,awake
2026-04-08 08:08:50,1,26.1,27.7,0.92,-18.1,413,0.53,0.48,0.04,0.00,awake
2026-04-08 08:08:50,1,26.1,27.7,0.92,-18.1,390,0.54,0.44,0.04,0.00,awake
